cd C:\RC\Sketchbook\Foxetron\Foxetron_AngleController\Release
avr-nm -C -S -l -f sysv Foxetron_AngleController.elf

Name                  Value   Class        Type         Size     Line  Section
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
.do_clear_bss_loop  |0000042c|   t  |            NOTYPE|        |     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:874
.do_clear_bss_start |0000042e|   t  |            NOTYPE|        |     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:874
__addsf3            |0000646a|   T  |            NOTYPE|        |     |.text
__addsf3x           |0000648c|   T  |              FUNC|000000c0|     |.text
__bad_interrupt     |00000452|   T  |            NOTYPE|        |     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:874
__brkval            |0080096a|   B  |            OBJECT|00000002|     |.bss
__bss_end           |00800970|   B  |            NOTYPE|        |     |.bss
__bss_start         |008004c2|   B  |            NOTYPE|        |     |.bss
__ctors_end         |000003e8|   T  |            NOTYPE|        |     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:866
__ctors_start       |000003d6|   T  |            NOTYPE|        |     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:866
__ctype_isfalse     |0000712e|   T  |            NOTYPE|        |     |.text
__ctype_istrue      |00007132|   T  |            NOTYPE|        |     |.text
__ctzhi2            |000069ba|   T  |            NOTYPE|00000008|     |.text
__cxa_pure_virtual  |00005c98|   T  |              FUNC|00000004|     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/abi.cpp:24
__data_end          |008004c2|   D  |            NOTYPE|        |     |.data
__data_load_end     |0000754c|   A  |            NOTYPE|        |     |*ABS*
__data_load_start   |0000718a|   A  |            NOTYPE|        |     |*ABS*
__data_start        |00800100|   D  |            NOTYPE|        |     |.data
__divsf3            |00006532|   T  |              FUNC|00000004|     |.text
__divsf3_pse        |00006550|   T  |            NOTYPE|        |     |.text
__divsf3x           |0000654c|   T  |              FUNC|000000cc|     |.text
__do_clear_bss      |00000424|   T  |            NOTYPE|00000010|     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:871
__do_copy_data      |0000040e|   T  |            NOTYPE|00000016|     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:868
__do_global_ctors   |00000434|   T  |            NOTYPE|00000016|     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:874
__do_global_dtors   |00007172|   T  |            NOTYPE|00000016|     |.text
__dtors_end         |000003ea|   T  |            NOTYPE|        |     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:866
